county,state,avganncount,avgdeathsperyear,popest2015,medincome,binnedinc,medianage,medianagemale,medianagefemale,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctpubliccoverage,povertypercent,studypercap
Centre County, Pennsylvania,626.0,208,160580,51573,"(51046.4, 54545.6]",30.3,29.3,31.8,31.6,21.7,55.2,5.1,83.5,21.4,17.9,392.3278117
Chester County, Pennsylvania,2688.0,894,515939,85613,"(61494.5, 125635]",40.1,38.8,41.2,23.2,29.3,64.7,5.9,82.4,21.9,7.3,149.24244919999998
Clarion County, Pennsylvania,248.0,92,39498,43202,"(42724.4, 45201]",40.3,39.4,41.1,47.0,12.3,51.7,8.1,70.6,36.2,15.1,0.0
Clearfield County, Pennsylvania,516.0,212,80994,40230,"(37413.8, 40362.7]",43.9,42.3,45.7,50.9,9.2,50.3,7.8,66.2,41.6,16.5,0.0
Clinton County, Pennsylvania,232.0,98,39441,44224,"(42724.4, 45201]",38.1,37.5,38.6,45.6,11.3,55.0,6.1,69.3,36.7,17.4,0.0
Columbia County, Pennsylvania,424.0,151,66672,46938,"(45201, 48021.6]",40.1,39.3,41.1,45.7,13.2,,5.7,77.6,30.3,14.3,14.9988001
Crawford County, Pennsylvania,551.0,224,86484,43969,"(42724.4, 45201]",42.4,41.4,43.2,45.0,12.4,53.4,7.2,64.9,38.6,14.9,0.0
Cumberland County, Pennsylvania,1332.0,473,246338,62692,"(61494.5, 125635]",40.8,39.4,42.1,35.0,20.3,61.4,5.6,81.4,26.6,9.1,105.5460384
Dauphin County, Pennsylvania,1417.0,534,272983,52967,"(51046.4, 54545.6]",39.6,38.1,41.1,34.8,17.6,,7.1,72.4,32.4,13.4,725.3198917000001
Delaware County, Pennsylvania,3395.0,1270,563894,62867,"(61494.5, 125635]",38.9,36.9,40.6,31.8,21.1,59.8,8.2,76.0,29.0,11.0,150.73755
Elk County, Pennsylvania,235.0,93,30872,46965,"(45201, 48021.6]",46.4,45.4,47.5,50.4,11.6,57.5,5.2,75.0,35.2,10.5,0.0
Erie County, Pennsylvania,1566.0,620,278045,45476,"(45201, 48021.6]",38.8,37.3,40.5,40.0,16.9,57.1,8.0,69.6,36.7,16.4,39.56194141
Fayette County, Pennsylvania,932.0,394,133628,36902,"(34218.1, 37413.8]",44.2,42.1,45.8,49.9,9.7,48.1,8.4,65.5,41.3,20.2,97.28500015
Forest County, Pennsylvania,49.0,22,7410,37794,"(37413.8, 40362.7]",43.3,37.0,59.6,53.6,5.7,17.6,4.8,68.2,56.2,21.9,134.9527665
Franklin County, Pennsylvania,877.0,323,153638,50434,"(48021.6, 51046.4]",40.9,39.9,42.0,43.9,12.0,58.9,6.9,72.6,31.0,11.9,97.63209623
Fulton County, Pennsylvania,88.0,34,14629,48084,"(48021.6, 51046.4]",43.2,42.4,44.3,51.1,8.0,55.4,7.5,70.9,37.5,13.3,0.0
Greene County, Pennsylvania,240.0,95,37519,49897,"(48021.6, 51046.4]",502.8,40.7,43.5,47.3,11.6,46.6,6.4,71.4,36.2,16.5,0.0
Huntingdon County, Pennsylvania,248.0,105,45668,44531,"(42724.4, 45201]",42.5,40.7,44.1,51.7,9.1,48.6,8.1,70.5,38.2,15.1,0.0
Indiana County, Pennsylvania,457.0,172,86966,42611,"(40362.7, 42724.4]",38.9,37.1,40.8,43.9,13.5,52.9,7.8,73.2,31.1,17.0,34.49623991
Jefferson County, Pennsylvania,304.0,120,44430,43810,"(42724.4, 45201]",43.6,42.2,45.1,51.2,9.7,54.2,6.4,67.8,37.0,13.3,0.0
Juniata County, Pennsylvania,124.0,54,24737,48944,"(48021.6, 51046.4]",43.0,42.2,43.9,51.0,8.0,56.2,5.7,69.6,31.9,12.3,0.0
Lackawanna County, Pennsylvania,1370.0,549,211917,45098,"(42724.4, 45201]",42.3,40.4,43.8,37.7,16.3,55.5,6.9,72.5,35.1,15.4,127.4083721
Lancaster County, Pennsylvania,2737.0,1032,536624,57369,"(54545.6, 61494.5]",38.4,37.1,39.6,38.2,16.4,62.4,6.1,70.6,29.5,10.5,59.63207013
Lawrence County, Pennsylvania,620.0,255,88082,44903,"(42724.4, 45201]",44.4,42.4,45.9,45.0,13.2,53.7,7.0,68.4,39.9,13.2,1146.6587949999998
Lebanon County, Pennsylvania,814.0,321,137067,53861,"(51046.4, 54545.6]",41.1,39.6,42.4,43.9,12.0,60.2,6.9,71.2,33.1,10.9,0.0
Lehigh County, Pennsylvania,2001.0,741,360685,58283,"(54545.6, 61494.5]",39.5,38.1,40.7,33.1,17.3,59.9,8.5,70.0,32.8,12.8,177.4401486
Luzerne County, Pennsylvania,2153.0,836,318449,44222,"(42724.4, 45201]",42.9,40.9,44.6,39.5,13.3,55.6,7.8,70.8,37.1,15.8,191.5534356
Lycoming County, Pennsylvania,766.0,280,116048,45211,"(45201, 48021.6]",496.8,39.2,43.1,41.1,13.0,56.9,7.7,71.9,34.4,16.0,146.4911071
McKean County, Pennsylvania,260.0,101,42412,44723,"(42724.4, 45201]",42.4,40.8,44.2,48.2,10.0,51.8,9.1,70.4,39.1,16.6,0.0
Mercer County, Pennsylvania,792.0,320,114234,43559,"(42724.4, 45201]",43.8,41.9,45.3,44.4,13.9,52.7,6.8,69.5,38.0,14.6,122.5554563
Mifflin County, Pennsylvania,304.0,113,46500,40957,"(40362.7, 42724.4]",43.5,42.2,44.5,50.2,8.2,53.2,6.4,63.3,39.6,16.3,559.1397849
Monroe County, Pennsylvania,866.0,334,166397,59492,"(54545.6, 61494.5]",41.8,40.9,42.5,36.6,14.9,56.0,12.0,70.6,31.6,13.3,24.03889493
Montgomery County, Pennsylvania,4749.0,1672,819264,79576,"(61494.5, 125635]",41.1,39.5,42.5,24.8,26.3,64.0,6.4,83.4,24.3,7.1,239.2391219
Montour County, Pennsylvania,124.0,41,18557,54547,"(54545.6, 61494.5]",42.9,40.6,46.3,39.8,15.9,55.4,6.6,77.6,32.1,11.2,0.0
Northampton County, Pennsylvania,1931.0,677,300813,61510,"(61494.5, 125635]",41.8,40.0,43.2,35.3,17.2,59.2,7.3,77.1,30.1,10.0,365.6756856
Northumberland County, Pennsylvania,620.0,248,93246,40429,"(40362.7, 42724.4]",525.6,41.6,46.2,50.3,9.4,52.7,7.2,71.8,37.0,15.9,0.0
Perry County, Pennsylvania,259.0,103,45685,54920,"(54545.6, 61494.5]",42.1,41.0,43.2,46.0,10.6,62.2,6.3,76.2,27.5,8.7,0.0
Philadelphia County, Pennsylvania,8236.0,3303,1567442,39037,"(37413.8, 40362.7]",33.7,32.2,35.2,33.8,14.9,51.4,13.9,55.7,41.3,25.8,742.6112099
Pike County, Pennsylvania,346.0,120,55949,58375,"(54545.6, 61494.5]",46.0,45.4,46.6,35.8,14.7,51.9,11.6,72.5,35.9,10.6,71.49368175
Potter County, Pennsylvania,114.0,52,17093,40323,"(37413.8, 40362.7]",45.8,44.5,46.8,48.2,9.2,49.5,6.9,67.2,40.6,14.3,0.0
Schuylkill County, Pennsylvania,992.0,409,144590,43169,"(42724.4, 45201]",43.8,42.0,45.6,47.7,9.8,52.2,8.8,71.6,36.7,13.5,186.7349056
Snyder County, Pennsylvania,224.0,78,40444,49117,"(48021.6, 51046.4]",39.3,37.9,40.7,46.0,10.0,60.0,5.0,70.1,29.6,13.1,0.0
Somerset County, Pennsylvania,494.0,189,75522,45706,"(45201, 48021.6]",45.3,43.6,47.1,49.3,9.9,51.6,6.9,72.3,37.2,13.5,39.72352427
Sullivan County, Pennsylvania,59.0,21,6328,44191,"(42724.4, 45201]",51.8,50.4,53.1,49.1,9.8,46.2,8.7,74.2,39.2,14.4,0.0
Susquehanna County, Pennsylvania,258.0,100,41666,49552,"(48021.6, 51046.4]",46.4,45.4,47.3,46.7,10.8,54.4,7.7,71.5,34.3,12.8,0.0
Tioga County, Pennsylvania,275.0,104,41877,47360,"(45201, 48021.6]",43.0,42.5,43.7,44.6,12.0,52.6,7.4,69.5,36.5,16.3,0.0
Union County, Pennsylvania,227.0,81,44954,47996,"(45201, 48021.6]",38.6,37.4,40.6,41.2,12.3,46.7,6.1,73.0,31.3,13.4,578.3689994
Venango County, Pennsylvania,369.0,160,53119,43810,"(42724.4, 45201]",45.4,43.9,46.9,49.7,10.7,53.2,8.1,67.3,41.3,16.2,244.7335228
Warren County, Pennsylvania,295.0,113,40396,44651,"(42724.4, 45201]",46.2,44.9,47.2,47.2,11.7,,6.6,73.5,36.9,14.1,0.0
Washington County, Pennsylvania,1356.0,561,208261,55796,"(54545.6, 61494.5]",44.2,42.7,45.4,39.3,18.1,58.0,6.5,77.7,32.5,10.7,96.03334278
Wayne County, Pennsylvania,321.0,139,51198,48663,"(48021.6, 51046.4]",46.5,44.8,48.6,44.3,11.7,48.6,7.8,69.9,39.6,13.9,39.06402594
Westmoreland County, Pennsylvania,2461.0,982,357956,53536,"(51046.4, 54545.6]",46.1,44.4,47.5,38.9,17.1,57.6,5.6,77.0,35.0,10.1,61.46006772
Wyoming County, Pennsylvania,189.0,71,27800,55882,"(54545.6, 61494.5]",43.1,41.8,44.2,48.2,12.2,56.5,7.6,73.3,35.1,10.9,0.0
York County, Pennsylvania,2467.0,883,442867,58471,"(54545.6, 61494.5]",40.7,39.5,41.9,41.0,14.9,61.8,7.3,75.1,30.1,10.2,85.80454177
Bristol County, Rhode Island,306.0,104,49084,68246,"(61494.5, 125635]",43.9,41.9,45.5,22.4,23.9,60.7,6.8,80.8,27.0,8.0,0.0
Kent County, Rhode Island,1034.0,410,164801,61923,"(61494.5, 125635]",43.5,41.4,45.2,28.6,19.4,63.2,8.2,78.3,29.9,9.3,42.47547042
Newport County, Rhode Island,518.0,193,82423,69203,"(61494.5, 125635]",43.9,42.0,45.6,23.1,26.4,59.2,6.9,79.0,30.1,9.5,72.79521493
Providence County, Rhode Island,3257.0,1254,633473,47278,"(45201, 48021.6]",37.1,35.4,38.7,28.8,16.2,58.8,9.5,63.9,35.7,18.3,336.24163930000003
Washington County, Rhode Island,765.0,265,126517,70705,"(61494.5, 125635]",519.6,42.0,44.5,23.3,25.8,61.1,6.4,81.7,27.3,10.4,23.7122284
Abbeville County, South Carolina,143.0,61,24932,35525,"(34218.1, 37413.8]",43.3,40.7,44.9,37.5,8.6,45.9,10.7,56.6,43.8,21.4,0.0
Aiken County, South Carolina,753.0,330,165829,48537,"(48021.6, 51046.4]",40.9,39.3,42.3,31.0,15.9,52.8,9.9,65.2,35.8,16.6,6.03030833
Allendale County, South Carolina,49.0,23,9433,25530,"[22640, 34218.1]",38.7,35.6,44.3,39.4,10.0,35.5,22.6,47.9,47.8,39.9,0.0
Anderson County, South Carolina,1069.0,409,194692,43124,"(42724.4, 45201]",40.5,39.7,41.6,31.5,12.6,53.7,9.2,63.0,35.2,16.7,246.5432581
Bamberg County, South Carolina,91.0,39,14880,30349,"[22640, 34218.1]",40.3,38.6,41.4,25.2,12.5,44.0,10.9,47.1,48.2,29.7,0.0
Barnwell County, South Carolina,101.0,55,21725,32205,"[22640, 34218.1]",39.8,38.7,41.1,37.5,9.1,,14.7,54.8,43.4,27.0,0.0
Beaufort County, South Carolina,1000.0,352,179589,55427,"(54545.6, 61494.5]",42.8,40.0,45.6,23.4,23.1,50.2,7.2,66.7,38.4,12.9,66.81923726
Berkeley County, South Carolina,786.0,287,202786,52436,"(51046.4, 54545.6]",35.3,33.6,36.5,31.1,14.7,56.1,9.9,66.7,30.4,13.7,0.0
Calhoun County, South Carolina,93.0,30,14781,41209,"(40362.7, 42724.4]",45.3,44.2,46.5,37.2,11.0,52.4,8.6,60.8,38.2,19.3,0.0
Charleston County, South Carolina,1760.0,668,389262,52752,"(51046.4, 54545.6]",36.5,35.3,38.0,21.6,25.9,60.1,7.7,68.4,28.8,16.8,452.1376348
Cherokee County, South Carolina,312.0,120,56194,38947,"(37413.8, 40362.7]",38.8,38.3,39.3,36.9,10.3,47.8,10.6,56.4,40.5,22.3,88.9774709
Chester County, South Carolina,197.0,86,32267,37537,"(37413.8, 40362.7]",41.2,40.1,42.4,36.5,9.3,47.4,13.8,54.9,42.8,22.5,0.0
Chesterfield County, South Carolina,228.0,109,46017,34949,"(34218.1, 37413.8]",41.0,39.8,41.8,39.6,7.7,,10.3,52.7,40.7,26.4,0.0
Clarendon County, South Carolina,217.0,90,33775,32268,"[22640, 34218.1]",42.8,40.1,45.3,36.4,9.2,40.9,16.2,52.0,48.4,27.0,0.0
Colleton County, South Carolina,225.0,105,37731,35558,"(34218.1, 37413.8]",41.7,41.3,42.3,37.9,8.8,49.2,12.4,48.8,45.3,23.0,53.00681138
Darlington County, South Carolina,369.0,168,67548,35640,"(34218.1, 37413.8]",40.8,39.0,42.2,36.5,11.6,48.1,15.9,55.5,40.9,25.3,0.0
Dillon County, South Carolina,150.0,73,31234,30516,"[22640, 34218.1]",37.8,35.3,39.3,38.9,6.2,44.8,13.2,45.2,49.1,29.8,0.0
Dorchester County, South Carolina,618.0,210,152478,56388,"(54545.6, 61494.5]",35.8,35.0,36.7,29.2,15.8,59.5,8.0,70.3,28.3,12.8,6.558323167999999
Edgefield County, South Carolina,123.0,48,26514,44129,"(42724.4, 45201]",42.1,40.7,43.9,36.3,11.4,45.9,8.9,65.0,34.9,17.5,0.0
Fairfield County, South Carolina,138.0,62,22747,35490,"(34218.1, 37413.8]",44.1,43.5,44.8,39.8,8.6,46.0,12.8,52.4,43.2,23.1,0.0
Florence County, South Carolina,677.0,297,138900,42232,"(40362.7, 42724.4]",38.2,36.4,39.5,33.7,13.9,,12.1,59.7,38.6,19.5,158.387329
Georgetown County, South Carolina,431.0,173,61298,44283,"(42724.4, 45201]",47.5,45.2,49.1,31.3,15.4,45.7,11.2,56.3,43.9,19.6,81.56872981
Greenville County, South Carolina,2249.0,860,491863,49659,"(48021.6, 51046.4]",37.7,36.5,38.7,26.3,20.7,58.6,7.6,66.7,29.3,14.7,1099.899769
Burleson County, Texas,92.0,45,17460,48140,"(48021.6, 51046.4]",42.6,39.9,44.3,36.4,10.0,53.7,7.5,61.2,34.8,16.2,0.0
Burnet County, Texas,250.0,101,45463,53203,"(51046.4, 54545.6]",44.1,42.6,45.2,31.9,15.6,52.4,5.1,61.3,37.5,14.0,0.0
Caldwell County, Texas,161.0,63,40522,47227,"(45201, 48021.6]",35.6,33.6,37.4,36.0,11.1,53.5,5.2,53.5,32.2,16.0,0.0
Calhoun County, Texas,107.0,47,21895,46705,"(45201, 48021.6]",38.1,37.7,38.7,31.8,10.7,56.5,7.2,61.2,31.9,17.3,0.0
Callahan County, Texas,76.0,42,13557,40796,"(40362.7, 42724.4]",43.5,42.1,44.7,38.7,10.8,47.5,5.4,56.1,33.4,16.3,0.0
Cameron County, Texas,1348.0,490,422156,32215,"[22640, 34218.1]",31.2,29.2,33.0,24.0,11.8,49.5,10.0,34.8,38.8,34.5,9.475170316
Camp County, Texas,71.0,29,12682,37801,"(37413.8, 40362.7]",37.8,36.4,39.4,36.5,9.9,52.5,8.5,51.7,35.8,23.9,0.0
Carson County, Texas,25.0,11,5969,58425,"(54545.6, 61494.5]",40.7,40.4,41.1,28.4,15.4,61.5,1.7,74.1,23.4,8.6,0.0
Cass County, Texas,164.0,80,30313,39256,"(37413.8, 40362.7]",43.3,41.5,45.0,44.0,9.7,49.3,9.2,54.8,39.7,19.1,0.0
Castro County, Texas,33.0,14,7656,42966,"(42724.4, 45201]",34.6,34.4,34.7,33.1,9.4,57.2,4.7,42.0,35.4,19.4,0.0
Chambers County, Texas,145.0,55,38863,77281,"(61494.5, 125635]",36.2,36.3,36.1,31.8,13.4,53.9,7.8,63.5,26.5,10.7,0.0
Cherokee County, Texas,270.0,105,51542,38465,"(37413.8, 40362.7]",37.6,36.5,39.2,33.4,12.1,50.2,6.4,53.2,38.1,20.1,0.0
Childress County, Texas,34.0,15,7088,39025,"(37413.8, 40362.7]",34.6,31.6,37.3,40.1,11.6,45.0,5.2,64.6,38.2,22.0,0.0
Clay County, Texas,61.0,25,10360,50993,"(48021.6, 51046.4]",45.7,43.8,46.7,39.5,11.0,54.0,6.8,65.3,35.1,13.5,0.0
Cochran County, Texas,15.0,7,2953,39870,"(37413.8, 40362.7]",34.9,34.6,35.4,29.7,7.4,52.8,8.5,43.6,35.3,20.7,0.0
Coke County, Texas,25.0,9,3238,41593,"(40362.7, 42724.4]",49.3,46.3,52.9,33.5,14.3,56.5,3.1,69.3,33.3,14.9,0.0
Coleman County, Texas,53.0,26,8338,37497,"(37413.8, 40362.7]",47.1,47.0,47.3,41.1,9.2,46.7,8.2,46.8,44.3,22.6,0.0
Collingsworth County, Texas,16.0,8,3044,38655,"(37413.8, 40362.7]",37.0,36.1,39.4,32.7,10.9,58.3,5.2,50.6,37.1,19.3,0.0
Colorado County, Texas,117.0,54,20870,46484,"(45201, 48021.6]",43.6,42.6,45.1,38.8,14.0,,4.2,64.0,31.7,16.0,0.0
Comal County, Texas,561.0,221,129048,64533,"(61494.5, 125635]",42.4,41.2,43.5,25.5,22.9,56.9,4.9,70.6,28.0,9.2,61.99243692
Comanche County, Texas,86.0,42,13430,38280,"(37413.8, 40362.7]",43.6,44.3,43.3,37.0,11.5,49.7,4.5,52.0,36.1,19.7,0.0
Concho County, Texas,15.0,7,4081,40837,"(40362.7, 42724.4]",40.8,39.3,47.0,30.1,8.2,27.8,2.8,58.6,43.9,26.5,0.0
Cooke County, Texas,203.0,84,39229,57378,"(54545.6, 61494.5]",39.6,39.0,40.4,32.1,14.7,58.8,7.0,65.2,32.1,15.3,0.0
Coryell County, Texas,239.0,91,75503,47018,"(45201, 48021.6]",30.6,29.1,32.3,30.3,10.5,39.0,9.5,77.7,26.9,14.8,0.0
Cottle County, Texas,9.0,5,1426,32722,"[22640, 34218.1]",50.1,40.8,54.4,30.9,11.6,52.9,7.5,44.9,47.7,20.9,0.0
Crane County, Texas,16.0,6,5048,61098,"(54545.6, 61494.5]",33.5,33.1,34.2,30.4,9.4,57.5,5.2,64.5,23.0,9.5,0.0
Crockett County, Texas,15.0,7,3710,49614,"(48021.6, 51046.4]",40.5,35.9,43.3,27.2,8.9,62.3,1.8,63.1,22.2,13.7,0.0
Crosby County, Texas,26.0,14,5977,36627,"(34218.1, 37413.8]",38.2,37.4,38.6,30.7,9.2,54.7,10.0,43.8,40.3,24.1,0.0
Dallam County, Texas,29.0,9,7121,43523,"(42724.4, 45201]",30.7,29.1,31.3,33.3,9.0,66.6,5.6,52.4,30.0,12.4,0.0
Dawson County, Texas,64.0,25,13520,41876,"(40362.7, 42724.4]",33.4,30.7,37.3,37.4,8.2,45.3,9.5,54.9,33.2,20.2,0.0
Deaf Smith County, Texas,73.0,33,18952,41499,"(40362.7, 42724.4]",31.5,30.5,32.6,30.8,10.8,61.4,5.4,52.5,33.2,19.2,0.0
Delta County, Texas,29.0,15,5217,38304,"(37413.8, 40362.7]",43.5,41.4,45.0,33.6,14.4,43.9,13.6,55.7,39.9,20.0,0.0
DeWitt County, Texas,118.0,49,20797,45717,"(45201, 48021.6]",42.2,41.0,45.4,37.5,10.7,48.1,6.8,61.3,35.0,18.0,0.0
Dickens County, Texas,10.0,5,2206,35924,"(34218.1, 37413.8]",43.1,41.1,48.7,28.3,11.4,39.9,13.6,58.4,38.0,22.1,0.0
Dimmit County, Texas,37.0,18,10980,36856,"(34218.1, 37413.8]",34.6,35.1,34.4,29.8,7.2,,10.3,38.9,40.3,25.0,0.0
Donley County, Texas,22.0,12,3499,37263,"(34218.1, 37413.8]",42.9,39.3,46.7,33.5,9.6,47.6,3.9,58.1,39.2,19.4,0.0
Duval County, Texas,45.0,23,11388,35069,"(34218.1, 37413.8]",37.3,35.3,39.1,33.3,5.7,,10.9,43.6,39.8,26.0,0.0
Eastland County, Texas,112.0,54,18171,36591,"(34218.1, 37413.8]",42.9,40.5,45.4,35.9,10.5,46.2,4.4,46.0,46.4,19.9,0.0
Ector County, Texas,538.0,230,159436,55555,"(54545.6, 61494.5]",30.7,29.8,31.8,28.7,10.6,64.1,5.2,57.7,25.3,12.8,62.72109185
Edwards County, Texas,8.0,4,1894,35554,"(34218.1, 37413.8]",49.5,50.7,49.1,28.8,20.8,56.4,4.9,57.8,42.7,22.5,0.0
Ellis County, Texas,605.0,236,163632,61157,"(54545.6, 61494.5]",35.7,34.5,36.5,29.7,14.9,62.7,6.5,65.6,24.9,11.0,0.0
El Paso County, Texas,2708.0,1015,835593,40081,"(37413.8, 40362.7]",31.6,29.7,33.4,24.5,14.7,52.9,8.4,47.3,33.8,23.4,51.46045982
Erath County, Texas,149.0,57,41122,41914,"(40362.7, 42724.4]",30.3,29.5,31.1,27.1,18.5,59.3,4.1,60.4,27.3,21.8,0.0
Falls County, Texas,83.0,34,17142,35491,"(34218.1, 37413.8]",39.8,39.6,39.9,37.7,8.8,42.8,7.2,55.5,38.9,23.7,0.0
Fannin County, Texas,182.0,81,33693,43211,"(42724.4, 45201]",41.3,39.2,43.5,35.2,10.0,48.4,6.7,59.5,36.3,17.1,1751.105571
Fayette County, Texas,144.0,64,25110,49830,"(48021.6, 51046.4]",47.6,45.9,48.9,36.9,11.5,,1.8,66.5,32.8,10.9,0.0
Fisher County, Texas,25.0,10,3827,44519,"(42724.4, 45201]",41.9,42.8,40.6,33.4,11.7,56.3,7.2,61.9,35.2,15.4,0.0
Floyd County, Texas,30.0,15,5901,36898,"(34218.1, 37413.8]",37.3,37.5,37.1,29.1,12.9,56.1,8.0,49.7,41.4,23.7,0.0
Fort Bend County, Texas,1931.0,592,716087,88516,"(61494.5, 125635]",35.5,34.6,36.3,17.5,28.0,63.7,5.1,74.0,17.3,8.8,34.91195902
Franklin County, Texas,59.0,24,10651,42099,"(40362.7, 42724.4]",43.5,42.6,44.9,33.5,11.0,52.0,6.6,52.1,43.3,16.4,0.0
Freestone County, Texas,103.0,46,19691,46526,"(45201, 48021.6]",41.4,40.5,42.7,33.9,8.7,50.6,4.9,61.5,33.4,16.7,0.0
Frio County, Texas,55.0,25,18793,34206,"[22640, 34218.1]",31.5,30.2,35.1,33.8,7.0,46.4,5.2,47.2,38.3,26.0,0.0
Gaines County, Texas,47.0,23,20051,50709,"(48021.6, 51046.4]",28.9,28.6,29.4,27.9,8.5,60.9,4.0,45.4,26.1,14.0,0.0
Galveston County, Texas,1336.0,569,322225,58333,"(54545.6, 61494.5]",37.5,36.3,38.7,24.5,19.1,59.8,7.5,68.1,25.6,14.3,37.24105827
Garza County, Texas,16.0,10,6415,49947,"(48021.6, 51046.4]",39.4,38.6,39.9,27.8,5.4,36.9,2.0,51.6,36.9,28.0,0.0
Gillespie County, Texas,181.0,79,25963,52814,"(51046.4, 54545.6]",50.6,48.2,52.0,26.6,22.7,53.2,6.8,63.1,39.4,12.5,0.0
Goliad County, Texas,45.0,15,7531,49369,"(48021.6, 51046.4]",45.8,44.8,46.6,39.5,9.1,48.6,9.3,70.4,37.6,15.3,0.0
Gonzales County, Texas,86.0,43,20573,42291,"(40362.7, 42724.4]",38.1,37.4,38.9,33.7,10.1,54.9,6.5,49.1,35.7,18.3,0.0
Gray County, Texas,139.0,50,23210,49012,"(48021.6, 51046.4]",37.0,36.5,38.2,33.0,9.8,53.3,5.4,59.6,32.5,14.2,0.0
Grayson County, Texas,678.0,278,125467,49261,"(48021.6, 51046.4]",40.2,38.5,41.4,32.0,13.0,,7.8,62.2,33.4,15.3,255.04714390000004
Gregg County, Texas,579.0,258,124108,50020,"(48021.6, 51046.4]",35.4,34.1,37.3,28.2,14.0,58.3,5.9,57.8,32.5,18.2,145.03496950000002
Grimes County, Texas,109.0,61,27512,44795,"(42724.4, 45201]",40.7,39.6,42.0,35.9,7.7,46.1,6.2,60.5,30.8,18.6,0.0
Guadalupe County, Texas,566.0,219,151249,61825,"(61494.5, 125635]",36.6,35.4,37.8,29.7,17.0,60.6,5.7,71.3,26.2,10.4,0.0
Hale County, Texas,142.0,61,34360,40213,"(37413.8, 40362.7]",32.5,32.0,33.2,32.2,9.1,53.6,8.1,52.6,33.8,24.0,0.0
Hall County, Texas,21.0,12,3138,33324,"[22640, 34218.1]",536.4,42.8,45.2,27.9,8.9,47.5,11.5,42.6,42.7,24.5,318.6743149
Hamilton County, Texas,56.0,28,8159,41207,"(40362.7, 42724.4]",48.6,48.0,49.6,33.2,15.4,48.3,5.9,61.7,42.1,16.2,0.0
Hansford County, Texas,27.0,8,5610,50698,"(48021.6, 51046.4]",36.4,36.8,36.0,29.6,15.1,63.8,2.3,65.3,27.1,12.7,178.2531194
Hardeman County, Texas,24.0,9,3840,36992,"(34218.1, 37413.8]",42.3,40.5,44.2,33.1,13.9,51.5,5.9,58.0,39.5,18.7,0.0
Hardin County, Texas,278.0,117,55865,53872,"(51046.4, 54545.6]",38.9,38.1,39.5,38.2,10.8,55.8,5.5,65.9,27.8,12.9,0.0
Harris County, Texas,14477.0,5108,4538028,54230,"(51046.4, 54545.6]",32.8,32.0,33.6,23.3,18.9,63.2,7.5,54.7,27.5,17.3,391.3594187
Harrison County, Texas,314.0,129,66746,48461,"(48021.6, 51046.4]",37.5,36.3,38.9,34.0,14.0,55.6,7.7,60.7,31.5,17.1,344.589938
Hartley County, Texas,18.0,8,6193,64182,"(61494.5, 125635]",39.3,38.4,40.2,34.3,16.0,46.0,2.1,72.1,28.3,10.5,1291.781043
Haskell County, Texas,34.0,16,5737,35607,"(34218.1, 37413.8]",43.4,38.1,52.0,32.6,10.3,45.1,6.9,54.0,44.1,25.1,522.9213875
Hays County, Texas,515.0,188,194739,59569,"(54545.6, 61494.5]",30.9,30.3,31.7,21.4,25.1,62.4,6.7,72.7,20.6,17.5,30.810469399999995
Hemphill County, Texas,16.0,8,4264,66505,"(61494.5, 125635]",34.4,35.2,34.0,25.8,19.9,,3.7,64.3,23.0,8.9,0.0
Henderson County, Texas,499.0,215,79545,40921,"(40362.7, 42724.4]",43.4,41.4,44.8,34.3,11.5,48.1,7.8,54.3,39.3,20.2,0.0
Hidalgo County, Texas,2092.0,763,842304,34368,"(34218.1, 37413.8]",28.8,27.4,30.1,23.2,11.9,52.2,9.9,32.6,37.3,33.5,42.73991338
Hill County, Texas,205.0,91,34855,41521,"(40362.7, 42724.4]",42.4,41.7,43.0,33.1,9.9,51.9,8.9,54.0,38.9,21.8,0.0
Hockley County, Texas,94.0,37,23433,50124,"(48021.6, 51046.4]",32.8,31.9,34.3,26.2,11.2,60.1,6.4,57.5,29.6,14.4,0.0
Hood County, Texas,340.0,140,55423,55472,"(54545.6, 61494.5]",46.9,44.9,48.2,28.4,17.1,51.0,5.0,64.9,36.3,12.4,0.0
Hopkins County, Texas,173.0,80,36223,44076,"(42724.4, 45201]",39.2,38.0,40.0,37.3,10.5,55.3,7.1,55.2,35.0,20.3,0.0
Houston County, Texas,124.0,61,22785,33698,"[22640, 34218.1]",44.5,43.2,47.1,37.3,10.9,40.5,6.4,53.6,42.6,25.9,0.0
Howard County, Texas,169.0,69,37206,47299,"(45201, 48021.6]",36.9,36.6,37.2,31.3,9.3,48.0,6.4,61.5,31.7,17.5,0.0
Hudspeth County, Texas,8.0,4,3379,32086,"[22640, 34218.1]",39.6,40.4,36.8,24.5,6.4,44.1,5.7,34.9,46.0,26.7,0.0
Hunt County, Texas,465.0,195,89844,43385,"(42724.4, 45201]",38.0,36.7,39.3,34.6,11.0,51.6,11.4,58.9,33.1,20.5,11.13040381
Hutchinson County, Texas,110.0,42,21734,51508,"(51046.4, 54545.6]",37.3,36.1,38.7,31.2,10.8,55.7,5.3,60.9,34.3,13.9,0.0
Irion County, Texas,9.0,3,1554,63054,"(61494.5, 125635]",44.9,43.4,47.1,34.9,10.5,62.2,4.4,71.3,23.2,8.6,0.0
